experiment_dir,suite,engine,node_count,replica_count,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,category,prompt_id,successful_runs,total_throughput_output_tok_s_mean,ttft_s_mean_across_replicas,tpot_s_mean_across_replicas,goodput_sla_fraction_mean,max_vmhwm_kb
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n12,llamacpp-tq-rpc,12,12,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,long,mandatory_long_transformer_cpu,1,0.0,,,0.0,16341184.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n12,llamacpp-tq-rpc,12,12,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,medium,mandatory_medium_ml_vs_dl,1,0.0,,,0.0,16341184.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n12,llamacpp-tq-rpc,12,12,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,short,mandatory_short_capital_france,1,0.0,,,0.0,16341184.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n16,llamacpp-tq-rpc,16,16,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,long,mandatory_long_transformer_cpu,1,0.0,,,0.0,16317824.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n16,llamacpp-tq-rpc,16,16,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,medium,mandatory_medium_ml_vs_dl,1,0.0,,,0.0,16317824.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n16,llamacpp-tq-rpc,16,16,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,short,mandatory_short_capital_france,1,0.0,,,0.0,16317824.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n6,llamacpp-tq-rpc,6,6,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,long,mandatory_long_transformer_cpu,1,0.0,,,0.0,16837376.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n6,llamacpp-tq-rpc,6,6,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,medium,mandatory_medium_ml_vs_dl,1,0.0,,,0.0,16837376.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n6,llamacpp-tq-rpc,6,6,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,short,mandatory_short_capital_france,1,0.0,,,0.0,16837376.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n8,llamacpp-tq-rpc,8,8,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,long,mandatory_long_transformer_cpu,1,0.0,,,0.0,16333888.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n8,llamacpp-tq-rpc,8,8,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,medium,mandatory_medium_ml_vs_dl,1,0.0,,,0.0,16333888.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling,node-scaling-n8,llamacpp-tq-rpc,8,8,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,short,mandatory_short_capital_france,1,0.0,,,0.0,16333888.0
