experiment_dir,run_dir,suite,engine,node_count,node_rank,node,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,trials_configured,warmup_trials,bench_concurrency,mandatory_only,limit_per_category,category,prompt_id,runs,successful_runs,ttft_s_mean,ttft_s_stdev,tpot_s_mean,tpot_s_stdev,throughput_output_tok_s_mean,throughput_output_tok_s_stdev,goodput_sla_fraction,max_rss_kb,max_vmhwm_kb
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n12/node_count_12/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n12,llamacpp-tq-rpc,12,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,long,mandatory_long_transformer_cpu,1,1,,,,,0.0,0.0,0.0,156160,16322048
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n12/node_count_12/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n12,llamacpp-tq-rpc,12,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,medium,mandatory_medium_ml_vs_dl,1,1,,,,,0.0,0.0,0.0,156160,16322048
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n12/node_count_12/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n12,llamacpp-tq-rpc,12,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,short,mandatory_short_capital_france,1,1,,,,,0.0,0.0,0.0,156160,16322048
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n16/node_count_16/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n16,llamacpp-tq-rpc,16,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,long,mandatory_long_transformer_cpu,1,1,,,,,0.0,0.0,0.0,155968,16328768
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n16/node_count_16/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n16,llamacpp-tq-rpc,16,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,medium,mandatory_medium_ml_vs_dl,1,1,,,,,0.0,0.0,0.0,155968,16328768
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n16/node_count_16/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n16,llamacpp-tq-rpc,16,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,short,mandatory_short_capital_france,1,1,,,,,0.0,0.0,0.0,155968,16328768
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n6/node_count_6/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n6,llamacpp-tq-rpc,6,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,long,mandatory_long_transformer_cpu,1,1,,,,,0.0,0.0,0.0,151744,16865664
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n6/node_count_6/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n6,llamacpp-tq-rpc,6,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,medium,mandatory_medium_ml_vs_dl,1,1,,,,,0.0,0.0,0.0,151744,16865664
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n6/node_count_6/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n6,llamacpp-tq-rpc,6,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,short,mandatory_short_capital_france,1,1,13.163114726019558,0.0,0.15113720612498582,0.0,0.6191741873193867,0.0,0.0,151744,16865664
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n8/node_count_8/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n8,llamacpp-tq-rpc,8,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,long,mandatory_long_transformer_cpu,1,1,,,,,0.0,0.0,0.0,157952,16335040
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n8/node_count_8/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n8,llamacpp-tq-rpc,8,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,medium,mandatory_medium_ml_vs_dl,1,1,,,,,0.0,0.0,0.0,157952,16335040
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261438-track-a1-gptoss-120b-node-scaling/node-scaling-n8/node_count_8/rpc_coordinator_cna0858/t_46_c_2048_p_1_n_64_k_f16_v_f16,node-scaling-n8,llamacpp-tq-rpc,8,0,cna0858,/share/chatbot/models/gpt-oss-120b-Q8_0.gguf,gpt-oss-120b-q8_0,46,46,2048,1,f16,f16,64,1,0,1,1,1,short,mandatory_short_capital_france,1,1,,,,,0.0,0.0,0.0,157952,16335040
